race_code,date,result,selected,rank,odds,p,ev,hit,payout,lead_min
202608291909,2026-08-29,1-2-3,3-1-4,3,97.3,0.05145086616706,5.006169278054938,False,0,8.461402233333333
202608300103,2026-08-30,2-3-1,2-1-3,2,64.0,0.05530180611138729,3.5393155911287866,False,0,9.631326166666666
202608300501,2026-08-30,1-4-2,3-1-6,9,60.0,0.0332338469189494,1.9940308151369641,False,0,8.631435716666665
202608300509,2026-08-30,6-4-2,3-1-2,7,105.0,0.04162718636894948,4.370854568739695,False,0,8.636985616666667
202608300609,2026-08-30,2-3-1,3-1-2,6,60.2,0.04193109645736672,2.5242520067334766,False,0,9.59540175
202608300802,2026-08-30,2-4-1,3-1-6,9,313.1,0.03558483259560736,11.141611085684666,False,0,9.631042066666668
202608300803,2026-08-30,2-1-4,1-2-4,1,155.5,0.057410889356884424,8.927393294995529,False,0,8.527721116666667
202608300809,2026-08-30,4-1-5,3-1-4,4,90.3,0.04972261281816754,4.489951937480528,False,0,8.434596
202608300901,2026-08-30,1-3-2,2-1-5,4,87.4,0.048457033464477994,4.235144724795377,False,0,8.577794466666667
202608300902,2026-08-30,6-1-3,4-3-5,3,246.2,0.027380242283707473,6.741015650248779,False,0,8.524430316666667
202608301605,2026-08-30,3-5-1,5-6-2,8,328.6,0.0183893048295121,6.042725566977676,False,0,9.538309616666668
202608301706,2026-08-30,4-2-6,4-3-6,7,300.2,0.020345805950626704,6.1078109463781365,False,0,9.678036516666667
202608301907,2026-08-30,4-5-6,3-1-2,6,228.9,0.04193109892249033,9.598028543358037,False,0,8.616457200000001
202608302102,2026-08-30,4-3-1,5-6-2,10,482.2,0.015626928651955106,7.535304995972752,False,0,9.622044883333333
202608302108,2026-08-30,3-6-2,1-3-2,2,55.6,0.06011887950341777,3.342609700390028,False,0,9.5932303
202608302312,2026-08-30,1-4-2,2-1-4,3,80.7,0.0520934153931857,4.203938622230086,False,0,8.576033800000001
202608310412,2026-08-31,3-1-2,2-1-6,10,68.6,0.03341887944735084,2.2925351300882677,False,0,8.3673381
202608310502,2026-08-31,2-4-1,2-1-6,9,108.4,0.03366134481511535,3.6488897779585043,False,0,9.505813033333334
202608310706,2026-08-31,4-1-3,2-1-4,3,257.3,0.03965822401328041,10.20406103861705,False,0,9.353156716666666
202608310711,2026-08-31,6-1-2,3-1-2,7,159.6,0.038974474185747246,6.22032608004526,False,0,9.32358155
202608310810,2026-08-31,1-4-6,2-4-1,9,226.5,0.032376565583035026,7.333292104557433,False,0,9.547871249999998
202608310812,2026-08-31,1-3-2,3-1-5,1,125.3,0.05941120108385753,7.444223495807348,False,0,9.627524766666665
202608311106,2026-08-31,1-3-4,2-1-3,5,75.5,0.044503359653944294,3.360003653872794,False,0,8.512862833333333
202608311604,2026-08-31,5-3-1,2-1-3,5,95.0,0.04450336541598997,4.227819714519047,False,0,9.495948366666665
